Passenger Email,Travel Insurance?,Purchase Date,Travel Date,Fare Type,Ticket Price,Route,Row_ID,Person
rbeeghly@vizpainter.com,False,12/9/2016,1/4/2017,Economy,86,DAL-ATL,637,Rob Beeghly
jbarnett@vizpainter.com,False,11/29/2016,1/4/2017,First Class,237,DAL-ATL,402,Julia Barnett
dreichenbach@vizpainter.com,True,10/21/2016,1/2/2017,Economy,62,DAL-LGA,191,Dan Reichenbach
dreichenbach@vizpainter.com,True,11/25/2016,1/2/2017,Economy,81,DAL-MDW,191,Dan Reichenbach
rbeeghly@vizpainter.com,False,12/30/2016,1/4/2017,Business,169,DAL-LGA,637,Rob Beeghly
nschneider@vizpainter.com,False,11/10/2016,1/4/2017,Business,93,DAL-ELP,566,Neola Schneider
swooten@vizpainter.com,False,10/23/2016,1/1/2017,Economy,78,DAL-HOU,682,Scot Wooten
aratner@vizpainter.com,False,12/16/2016,1/2/2017,Economy,84,DAL-AUS,38,Anemone Ratner
aratner@vizpainter.com,True,12/10/2016,1/2/2017,Economy,78,DAL-PHX,38,Anemone Ratner
sshariari@vizpainter.com,False,11/16/2016,1/3/2017,Economy,116,DAL-PHX,693,Shahid Shariari
swooten@vizpainter.com,False,12/9/2016,1/1/2017,Economy,90,DAL-PHX,682,Scot Wooten
aratner@vizpainter.com,False,12/28/2016,1/2/2017,Business,102,DAL-SEA,38,Anemone Ratner
sshariari@vizpainter.com,True,12/5/2016,1/3/2017,Economy,116,DAL-MDW,693,Shahid Shariari
aratner@vizpainter.com,False,9/29/2016,1/2/2017,First Class,222,DAL-HOU,38,Anemone Ratner
swooten@vizpainter.com,False,12/1/2016,1/1/2017,Economy,72,DAL-AMA,682,Scot Wooten
aratner@vizpainter.com,False,11/16/2016,1/2/2017,Economy,104,DAL-OKC,38,Anemone Ratner
swooten@vizpainter.com,False,10/22/2016,1/1/2017,Business,115,DAL-LGA,682,Scot Wooten
aratner@vizpainter.com,False,10/13/2016,1/2/2017,Economy,141,DAL-TUL,38,Anemone Ratner
swooten@vizpainter.com,False,11/20/2016,1/1/2017,Economy,149,DAL-PHX,682,Scot Wooten
aratner@vizpainter.com,False,12/14/2016,1/2/2017,Economy,95,DAL-OKC,38,Anemone Ratner
ccortes@vizpainter.com,False,12/14/2016,1/5/2017,Economy,106,DAL-AMA,147,Chris Cortes
kducich@vizpainter.com,False,9/9/2017,11/30/2017,Business,157,DAL-HOU,422,Katherine Ducich
hglantz@vizpainter.com,False,6/26/2017,9/8/2017,First Class,275,DAL-AMA,334,Hunter Glantz
scohen@vizpainter.com,False,5/22/2017,6/2/2017,Economy,97,DAL-AUS,683,Scott Cohen
msatty@vizpainter.com,False,9/8/2017,10/14/2017,Economy,142,DAL-AUS,513,Maurice Satty
dpoirier@vizpainter.com,False,10/13/2017,12/7/2017,Economy,93,DAL-OKC,206,Dave Poirier
jcaffey@vizpainter.com,False,11/18/2017,12/22/2017,Economy,104,DAL-HOU,358,Jenna Caffey
jmartin@vizpainter.com,False,11/8/2017,12/9/2017,Economy,121,DAL-ELP,349,Janet Martin
rd'ascenzo@vizpainter.com,False,11/4/2017,12/3/2017,Economy,129,DAL-ATL,661,Russell D'Ascenzo
jeaton@vizpainter.com,False,3/17/2017,5/17/2017,Business,149,DAL-SEA,382,Joel Eaton
mseite@vizpainter.com,False,9/25/2017,12/12/2017,Economy,73,DAL-OKC,521,Melanie Seite
nfritzler@vizpainter.com,False,8/12/2017,8/23/2017,Economy,79,DAL-AUS,558,Natalie Fritzler
rhaberlin@vizpainter.com,False,4/15/2017,6/30/2017,Economy,149,DAL-LAS,639,Rob Haberlin
bdonatelli@vizpainter.com,False,10/10/2017,11/25/2017,Economy,99,DAL-ELP,88,Bill Donatelli
